startstationname,num_start,num_end,diff
W 18 St & 9 Ave,1413,1390,-23
E 106 St & Madison Ave,1412,1410,-2
Eastern Pkwy & Washington Ave,1406,1387,-19
E 88 St & Park Ave,1401,1279,-122
St Johns Pl & Washington Ave,1400,1387,-13
Bergen St & Flatbush Ave,1391,1431,40
Park Pl & Church St,1389,1405,16
W 104 St & Amsterdam Ave,1386,1358,-28
28 St & 41 Ave,1385,1380,-5
W 47 St & 6 Ave,1380,1379,-1
Hancock St & Bedford Ave,1368,1376,8
Water - Whitehall Plaza,1364,1415,51
E 93 St & 2 Ave,1362,1343,-19
Cadman Plaza E & Red Cross Pl,1361,1365,4
W 133 St & 12 Ave,1358,1364,6
E 58 St & Madison Ave,1358,1412,54
Leonard St & Nassau Ave,1357,1381,24
Bialystoker Pl & Delancey St,1354,1355,1
E 56 St & Madison Ave,1353,1353,0
Carlton Ave & Dean St,1347,1341,-6
Morningside Ave & W 123 St,1345,1366,21
Classon Ave & St Marks Ave,1344,1329,-15
E 43 St & 5 Ave,1344,1278,-66
Macon St & Nostrand Ave,1338,1337,-1
Kosciuszko St & Tompkins Ave,1333,1346,13
Flushing Ave & Vanderbilt Ave,1332,1380,48
W 135 St & Lenox Terrace Pl,1332,1304,-28
E 114 St & 1 Ave,1328,1341,13
Crescent St & Broadway,1325,1325,0
Greene Ave & Nostrand Ave,1323,1340,17
Nassau Ave & Newell St,1319,1363,44
14 St & 5 Ave,1319,1320,1
Monroe St & Bedford Ave,1305,1307,2
E 106 St & Lexington Ave,1299,1311,12
6 St & 7 Ave,1298,1311,13
Broadway & Whipple St,1297,1319,22
Riverside Dr & W 138 St,1295,1275,-20
E 51 St & Lexington Ave,1288,1286,-2
Washington Ave & Greene Ave,1286,1279,-7
Kosciuszko St & Nostrand Ave,1285,1298,13
Nassau St & Navy St,1281,1448,167
E 95 St & 3 Ave,1280,1285,5
E 102 St & Park Ave,1274,1278,4
Willoughby Ave & Walworth St,1270,1266,-4
Adelphi St & Myrtle Ave,1264,1254,-10
Bushwick Ave & Powers St,1262,1233,-29
Monroe St & Classon Ave,1259,1276,17
34 Ave & 38 St,1255,1254,-1
31 Ave & Steinway St,1255,1235,-20
S Portland Ave & Hanson Pl,1255,1244,-11
Columbia Heights & Cranberry St,1252,1228,-24
W 116 St & Broadway,1245,981,-264
E 115 St & Lexington Ave,1244,1247,3
Berkeley Pl & 7 Ave,1235,1219,-16
E 58 St & 1 Ave (NE Corner),1228,1203,-25
Lexington Ave & E 111 St,1224,1236,12
E 81 St & Park Ave,1222,863,-359
Park Ave & E 124 St,1222,1215,-7
Broad St & Bridge St,1214,1245,31
19 St & 24 Ave,1207,1206,-1
Lewis Ave & Decatur St,1205,1200,-5
Schermerhorn St & Court St,1204,1221,17
State St & Smith St,1202,1206,4
Vernon Blvd & 31 Ave,1201,1207,6
Monroe St & Tompkins Ave,1200,1218,18
36 Ave & 31 St,1199,1193,-6
Adam Clayton Powell Blvd & W 123 St,1197,1207,10
Fulton St & Clermont Ave,1191,1181,-10
Clinton St & Joralemon St,1191,1234,43
Broadway & W 37 St,1188,1194,6
Bayard St & Leonard St,1186,1254,68
Sterling St & Bedford Ave,1183,1188,5
St James Pl & Pearl St,1181,1197,16
45 Rd & 11 St,1166,1176,10
